force,strain
10.4206131,166.089
10.4206131,129.33
10.4206131,124.53200000000001
10.4206131,119.729
10.4206131,81.251
10.4206131,76.44500000000001
10.4206131,71.643
10.4206131,33.632
10.4206131,29.009999999999998
10.4206131,24.438
10.4206131,3.218
10.4206131,2.446
10.4206131,1.788
10.4206131,173.916
10.4206131,169.452
10.4206131,164.60399999999998
10.4206131,129.219
10.4206131,124.43099999999998
10.4206131,119.633
10.4206131,81.149
10.4206131,76.342
10.4206131,71.53899999999999
10.4206131,33.872
10.4206131,29.454
10.4206131,25.218
10.4206131,3.493
10.4206131,2.388
10.4206131,1.74
10.4206131,175.83
10.4206131,171.789
10.4206131,166.08
10.4206131,129.32
10.4206131,124.521
10.4206131,119.71799999999999
10.4206131,81.235
10.4206131,76.428
10.4206131,71.62400000000001
10.4206131,33.602000000000004
10.4206131,28.979000000000003
10.4206131,24.405
10.4206131,3.157
10.4206131,2.412
10.4206131,1.768
10.4425155,176.208
10.4425155,172.162
10.4425155,166.439
10.4425155,129.601
10.4425155,124.79400000000001
10.4425155,119.98
10.4425155,81.422
10.4425155,76.60600000000001
10.4425155,71.79299999999999
10.4425155,33.702999999999996
10.4425155,29.073
10.4425155,24.493000000000002
10.4425155,3.262
10.4425155,2.47
10.4425155,1.7990000000000002
10.4425155,174.28199999999998
10.4425155,169.808
10.4425155,164.95
10.4425155,129.49099999999999
10.4425155,124.693
10.4425155,119.88499999999999
10.4425155,81.32000000000001
10.4425155,76.503
10.4425155,71.69
10.4425155,33.945
10.4425155,29.523
10.4425155,25.268
10.4425155,3.486
10.4425155,2.441
10.4425155,1.744
10.4425155,176.199
10.4425155,172.15
10.4425155,166.429
10.4425155,129.591
10.4425155,124.783
10.4425155,119.96900000000001
10.4425155,81.406
10.4425155,76.589
10.4425155,71.77499999999999
10.4425155,33.673
10.4425155,29.040999999999997
10.4425155,24.46
10.4425155,3.1999999999999997
10.4425155,2.436
10.4425155,1.7799999999999998
10.4425155,176.208
10.4425155,172.162
10.4425155,166.439
10.4425155,129.602
10.4425155,124.79400000000001
10.4425155,119.98
10.4425155,81.422
10.4425155,76.60600000000001
10.4425155,71.79299999999999
10.4425155,33.702999999999996
10.4425155,29.071
10.4425155,24.488999999999997
10.4425155,3.2239999999999998
10.4425155,2.452
10.4425155,1.7910000000000001
10.4425155,174.28199999999998
10.4425155,169.808
10.4425155,164.95
10.4425155,129.49099999999999
10.4425155,124.693
10.4425155,119.88499999999999
10.4425155,81.32000000000001
10.4425155,76.503
10.4425155,71.69
10.4425155,33.943
10.4425155,29.516
10.4425155,25.271
10.4425155,3.5
10.4425155,2.393
10.4425155,1.743
10.4425155,176.199
10.4425155,172.15
10.4425155,166.429
10.4425155,129.591
10.4425155,124.783
10.4425155,119.96900000000001
10.4425155,81.406
10.4425155,76.589
10.4425155,71.77499999999999
10.4425155,33.672
10.4425155,29.04
10.4425155,24.456
10.4425155,3.164
10.4425155,2.417
10.4425155,1.772
10.4522715,176.373
10.4522715,172.323
10.4522715,166.594
10.4522715,129.72299999999998
10.4522715,124.91
10.4522715,120.092
10.4522715,81.498
10.4522715,76.67699999999999
10.4522715,71.86000000000001
10.4522715,33.735
10.4522715,29.099999999999998
10.4522715,24.516000000000002
10.4522715,3.265
10.4522715,2.473
10.4522715,1.801
10.4522715,174.445
10.4522715,169.967
10.4522715,165.104
10.4522715,129.612
10.4522715,124.809
10.4522715,119.997
10.4522715,81.396
10.4522715,76.574
10.4522715,71.75699999999999
10.4522715,33.976
10.4522715,29.55
10.4522715,25.292
10.4522715,3.489
10.4522715,2.444
10.4522715,1.746
10.4522715,176.364
10.4522715,172.311
10.4522715,166.584
10.4522715,129.71200000000002
10.4522715,124.9
10.4522715,120.081
10.4522715,81.482
10.4522715,76.66
10.4522715,71.842
10.4522715,33.704
10.4522715,29.068
10.4522715,24.483
10.4522715,3.2030000000000003
10.4522715,2.438
10.4522715,1.782
10.4522715,176.373
10.4522715,172.323
10.4522715,166.594
10.4522715,129.72299999999998
10.4522715,124.91
10.4522715,120.092
10.4522715,81.498
